Вино(описание),Цена
"Вино Кьянти Ризерва красное полусухое,Италия, 0.75 л., Тоскана, 13%",599.99 ₽
"Вино игристое Риондо Просекко Спаго Неро защ.наим.бел.сух,Италия, 0.75 л., Венето, 10.5%",669.99 ₽
"Вино Пьетраме Монтепульчано д'Абруццо DOP красное сухое,Италия, 0.75 л., Абруццо, 13%",399.99 ₽
"Вино Пьетраме Монтепульчано Д`Абруццо Эдиционе Лимитата красное полусухое,Италия, 0.75 л., Абруццо, 13%",499.99 ₽
"Вино Тенуте Россетти Бьянко Тоскана IGP белое полусухое,Италия, 0.75 л., Тоскана, 12.5%",599.90 ₽
"Вино Фонте Форте Россо Терре Ди Кьети Абруццо IGP красное сухое,Италия, 0.75 л., Абруццо, 12.5%",349.99 ₽
"Вино Фонте Форте Бьянко Терре Ди Кьети Абруццо IGP белое сухое,Италия, 0.75 л., Абруццо, 12%",349.99 ₽
"Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,Италия, 0.75 л., Абруццо, 12.5%",449.90 ₽
"Вино Пьетраме Монтепульчано д'Абруццо Эдиционе Лимитата DOP красное сухое,Италия, 0.75 л., Абруццо, 13%",499.99 ₽
"Вино Бастиони Делла Рокка Аппассименто Апулия IGT красное полусухое,Италия, 0.75 л., Апулия, 15%",529.99 ₽
"Вино Поджо Альто Говерно Алл'Узо Тоскано IGT красное полусухое,Италия, 0.75 л., Тоскана, 13%",549.99 ₽
"Вино Домен де Рошебин Пино Нуар AOP красное сухое,Франция, 0.75 л., Бургундия, 13%",999.99 ₽
"Вино Маркес Де Касерес Крианса Риоха DOC красное сухое выдержанное,Испания, 0.75 л., Риоха, 14%",1099.90 ₽
"Вино Кутио Гарнача-Кариньена Кариньена DOC красное сухое выдержанное,Испания, 0.75 л., Кариньена, 14.5%",599.90 ₽
"Вино Корезей Пино Гриджио Делле Венецие Венето DOP белое сухое,Италия, 0.75 л., Венето, 12%",499.99 ₽
"Вино Н Нивариус Риоха DOC белое сухое,Испания, 0.75 л., Риоха, 13.5%",699.99 ₽
